tier,area,repo_path_or_url,title,date,words,proposed_page,publishability,why_it_matters
1,firecracker decision,team/humans/dinis_cruz/briefs/05/15/v0.27.43__strategy-brief__firecracker-direct-use-vs-managed-services.md,Should SG/Compute Use Firecracker Directly? Strategic Analysis,2026-05-15,3222,/why/substrates/,clean,Should SG/Compute use Firecracker directly? The substrate-choice argument.
1,firecracker research,team/humans/dinis_cruz/briefs/05/15/v0.27.43__research-brief__aws-firecracker-capabilities-may-2026.md,AWS Firecracker microVMs: Capabilities And Ecosystem (As Of May 2026),2026-05-15,2607,/why/substrates/,STALE - RECHECK,'AWS nested-virt support on C8i/M8i/R8i (Feb 2026) collapsed Firecracker entry cost from $3+/hour to ~$0.09/hour.' 15 months old - recheck before publishing.
1,firecracker vs docker vs podman,team/humans/dinis_cruz/briefs/05/15/v0.27.43__research-brief__firecracker-vs-docker-vs-podman-performance.md,Firecracker vs Docker vs Podman: The Nuanced Performance Reality,2026-05-15,3457,/why/substrates/,STALE - RECHECK,The performance comparison behind the runtime specs. Recheck the numbers.
1,AgentCore positioning,team/humans/dinis_cruz/briefs/05/15/v0.27.43__strategy-brief__layering-on-bedrock-agentcore-use-leverage-resell.md,"Where SG/Compute Layers On AgentCore: Use, Leverage, And Resell",2026-05-15,2980,/why/positioning/,STALE - RECHECK,Where SG/Compute layers on Bedrock rather than competing. 15 months old and that market has moved.
1,beyond the laptop,team/humans/dinis_cruz/briefs/05/15/v0.27.43__strategy-brief__serverless-sg-workflows-beyond-lambda.md,Serverless SG Workflows: Moving Execution Beyond The Laptop,2026-05-15,1887,/why/,clean,"The substrate spectrum. 'Serverless = no servers running when there is no traffic, with a defined cost to start serving traffic.' The definitional move the whole argument rests on."
1,the package manager,team/humans/dinis_cruz/briefs/05/11/v0.27.32__arch-brief__sg-compute-package-manager.md,"SG/Compute Package Manager: Opinionated, Vault-Backed, Security-Hardened",2026-05-11,3965,/specs/,clean,"The package-manager architecture behind the spec catalogue. 3,948 words - the longest architecture brief."
1,package manager commercial,team/humans/dinis_cruz/briefs/05/11/v0.27.32__strategy-brief__package-manager-commercial-model.md,SG/Compute Package Manager: Commercial Model for Upstream Maintainers,2026-05-11,2781,/why/,SHARED,The commercial model. SHARED WITH open-source.sgit.ai - that site owns the maintainer-sustainability argument; this one owns the platform mechanics.
1,AMI build CLI,team/humans/dinis_cruz/briefs/05/11/v0.27.32__dev-brief__ec2-image-build-cli-s3-first.md,EC2 Image Build CLI: S3-First Loading and Step-Based Installation Engineering,2026-05-11,1628,/specs/amis/,clean,The S3-first AMI build path behind bake-ami.yml. NOTE that workflow is currently dead - see 02__ section 4.
1,fargate experiment,team/humans/dinis_cruz/briefs/05/15/v0.27.43__dev-brief__fargate-vault-hosting-experiment.md,Fargate For Vault Hosting: Performance Experiment vs Lambda,2026-05-15,1673,/why/substrates/,clean,"The Fargate experiment - the 10-30s rung of the cold-start ladder, and where FARGATE_SPOT is defaulted."
1,vault app milestone,team/humans/dinis_cruz/briefs/05/13/v0.27.40__dev-brief__ephemeral-vault-app-instances-milestone.md,Milestone: Ephemeral Vault App Instances on SG/Compute with TLS,2026-05-13,1156,/specs/vault-app/,clean,The TLS milestone - ACME automation including IP certificates via the shortlived profile.
1,container import,team/humans/dinis_cruz/briefs/05/02/v0.27.5__dev-brief__container-import-to-running-nodes.md,Container Import: Push Locally-Built Containers to Running Nodes,2026-05-02,906,/what-it-is/pods/,clean,Importing containers to running nodes - the pod lifecycle.
1,the origin brief,team/humans/dinis_cruz/briefs/04/06/v0.20.37__dev-brief__serverless-playwright-api.md,Serverless Playwright API: Docker-Based Automation with Vault Session Management,2026-04-06,1010,/why/history/,clean,"THE ORIGIN. 6 April 2026, ten days before the first commit. Where the whole thing starts as a serverless Playwright API."
1,the agentic refactor,team/humans/dinis_cruz/briefs/04/18/for_team__playwright/brief__playwright-dev-team__first-pass-agentic-refactor.md,Brief — Playwright Service: First Pass Toward the Agentic Runtime,2026-04-18,3647,/why/history/,clean,"First Pass Toward the Agentic Runtime - 3,490 words, two days after the first commit. The pivot from service to runtime."
1,deployment patterns,team/humans/dinis_cruz/briefs/04/20/from-team__playwright/ec2-ecr-deployment-guide.md,EC2 + ECR Deployment Guide — Patterns From the Playwright Service,2026-04-20,1885,/what-it-is/,clean,Patterns From the Playwright Service - the EC2/ECR deployment lineage.
2,the boot benchmarks,utils/ec2_boot_bench/ec2_boot_bench_results.csv,ec2_boot_bench_results.csv,2026-05-11,361,/numbers/,STRIP IDS,"24 REAL RUNS, eu-west-2, time to SSM-ready. t3.micro 16.4s, c5.large 16.2s, g5.xlarge 18.2s on-demand / 20.5s spot. PLUS 7 InsufficientInstanceCapacity failures. PUBLISH THE TIMINGS, STRIP THE 16 INSTANCE IDs AND 3 AMI IDs."
2,the broken guard,tests/ci/test_no_legacy_imports.py,═══════════════════════════════════════════════════════════════════════════════,2026,132,/shipped/,FIX FIRST,THE ONE-CHARACTER BUG. regex sgraph_ai_service_playwright[^_] cannot match sgraph_ai_service_playwright__cli. Verified: 0 files matched vs 228 real imports in 69 files. Delete [^_] and it fails as intended.
2,claude-code-web tree,team/humans/dinis_cruz/claude-code-web/,claude-code-web,2026,0,various,REDACT AND USE,"DENSEST SOURCE OF OPERATIONAL DETAIL and of the AWS account ID (20+ files) and live hostnames. A redact-and-use tree, not a skip tree. See 07__ section 2."
2,the stale capabilities,capabilities.json,capabilities.json,2026,14,/specs/,STALE - DO NOT CITE,"Frozen at v0.1.29 while the repo is v0.2.71. COPY'd into the image, served at /admin/capabilities, and the repo's own docs say never to read it. RESCUE THE THREE AXIOMS, discard the file."
2,the README,README.md,SGraph Send,2026,900,-,DO NOT USE,"'Phase 0 in progress - repo skeleton' at 217k LOC and 7,110 tests. Documents a package that does not exist. THE SINGLE MOST MISLEADING ARTEFACT IN THE REPO. Write the site from the tree."
3,alchemist tree,library/alchemist/materials/v0.5.8__business-plan__sg-send.md,SGraph Send — Business Plan,2026-02,3316,DO-NOT-PUBLISH,INTERNAL ONLY,"Representative of the whole tree - investment figures, valuation, competitive positioning."
3,competitor map,team/humans/dinis_cruz/briefs/07/12/positioning-and-market/v0.33.48__strategy-brief__sg-send-why-the-opportunity-exists-grc-airgapped-from-reality-competitor-map-data-side-threat.md,"Why The Opportunity Exists: GRC Is Air-Gapped From Reality, And Who Could Close The Gap Faster",2026-07-12,2634,DO-NOT-PUBLISH,INTERNAL ONLY,Competitor map.
3,attack roadmap,team/roles/appsec/reviews/02/21/v0.5.0__review__pki-architecture-security-revised.md,"AppSec Review: PKI Architecture Security -- Key Discovery, Chain of Trust, and Secure Pod (REVISED)",2026-02-21,5726,DO-NOT-PUBLISH,INTERNAL ONLY,Already classified: 'Publishing is publishing an attack roadmap for live code'.
3,named individual,team/roles/grc/reviews/02/19/v0.4.12__risk-acceptance__deliberate-token-exposure.md,v0.4.12 -- GRC Risk Acceptance: Deliberate Token Exposure via Published Documentation,2026-02-19,1632,DO-NOT-PUBLISH,INTERNAL ONLY,"Names a private individual as risk acceptor, with signature blocks."
3,named customer,library/sgraph-send/dev_packs/v0.32.1__vault-to-vault-append-comms/03__provisioning-and-topologies.md,"03 — Provisioning, the drain loop, and the two topologies",2026,853,DO-NOT-PUBLISH,INTERNAL ONLY,Already classified: names the driving rollout customer.
0,THE REPO,https://github.com/the-cyber-boardroom/SGraph-AI__Service__Playwright,SGraph-AI__Service__Playwright,2026-07-24,0,/,RENAME PENDING,"The platform. 217,266 LOC, 16 registered specs, ~71% non-browser. Repo name, PyPI name and Docker images all still say Playwright - see 02__."
1,the live zone,https://sg-compute.sgraph.ai,sg-compute.sgraph.ai (Route 53),-,0,/network/,DOMAIN COLLISION,"LIVE zone serving per-node DNS as <stack-name>.sg-compute.sgraph.ai. 128 references in code and tests. Same label as the target site, different TLD - decide deliberately. 02__ section 5."
1,the vendored proxy,https://hub.docker.com/r/diniscruz/sg-send-vault,diniscruz/sg-send-vault,-,0,/agents/auth/,SOURCE UNAVAILABLE,"Fast_API__Reverse_Proxy is written to be vendored into this image, whose source is in NEITHER repo. Anyone documenting the production auth path documents a component they cannot see."
